entrez_id	chr	symbol
583	chr16	BBS2
585	chr15	BBS4
586	chr12	BCAT1
587	chr19	BCAT2
590	chr3	BCHE
593	chr19	BCKDHA
594	chr6	BCKDHB
595	chr11	CCND1
596	chr18	BCL2
597	chr15	BCL2A1
598	chr20	BCL2L1
599	chr14	BCL2L2
600	chr20	BAK1P1
601	chr11	BAK1P2
602	chr19	BCL3
603	chr17	BCL5
604	chr3	BCL6
605	chr12	BCL7A
606	chr15	NBEAP1
607	chr1	BCL9
608	chr16	TNFRSF17
610	chr19	HCN2
611	chr7	OPN1SW
613	chr22	BCR
616	chr22	BCRP4
617	chr2	BCS1L
618	chr2	BCYRN1
619	chrX	BCYRN1P1
620	chr1	BCYRN1P2
622	chr3	BDH1
623	chr14	BDKRB1
624	chr14	BDKRB2
627	chr11	BDNF
628	chr6	BEVI
629	chr6	CFB
631	chr20	BFSP1
632	chr1	BGLAP
633	chrX	BGN
634	chr19	CEACAM1
635	chr5	BHMT
636	chr12	BICD1
637	chr22	BID
638	chr22	BIK
639	chr6	PRDM1
640	chr8	BLK
641	chr15	BLM
642	chr17	BLMH
643	chr11	CXCR5
644	chr7	BLVRA
645	chr19	BLVRB
646	chr15	BNC1
648	chr10	BMI1
649	chr8	BMP1
650	chr20	BMP2
651	chr4	BMP3
652	chr14	BMP4
653	chr6	BMP5
654	chr6	BMP6
655	chr20	BMP7
656	chr1	BMP8B
657	chr10	BMPR1A
658	chr4	BMPR1B
659	chr2	BMPR2
660	chrX	BMX
661	chr8	POLR3D
662	chr5	BNIP1
663	chr15	BNIP2
664	chr10	BNIP3
665	chr8	BNIP3L
666	chr2	BOK
667	chr6	DST
668	chr3	FOXL2
669	chr7	BPGM
670	chr6	BPHL
671	chr20	BPI
672	chr17	BRCA1
673	chr7	BRAF
675	chr13	BRCA2
676	chr1	BRDT
677	chr14	ZFP36L1
678	chr2	ZFP36L2
680	chrX	BRS3
682	chr19	BSG
683	chr4	BST1
684	chr19	BST2
685	chr4	BTC
686	chr3	BTD
687	chr9	KLF9
688	chr13	KLF5
689	chr5	BTF3
690	chr13	BTF3P11
693	chr8	BTF3P1
694	chr12	BTG1
695	chrX	BTK
696	chr6	BTN1A1
698	chr10	BTS1
699	chr2	BUB1
700	chr8	BVR1
701	chr15	BUB1B
705	chr6	BYSL
706	chr22	TSPO
708	chr17	C1QBP
710	chr11	SERPING1
711	chr3	ERC2-IT1
712	chr1	C1QA
713	chr1	C1QB
714	chr1	C1QC
715	chr12	C1R
716	chr12	C1S
717	chr6	C2
718	chr19	C3
719	chr12	C3AR1
720	chr6	C4A
721	chr6	C4B
722	chr1	C4BPA
724	chr1	C4BPAP2
725	chr1	C4BPB
726	chr11	CAPN5
727	chr9	C5
728	chr19	C5AR1
729	chr5	C6
730	chr5	C7
731	chr1	C8A
732	chr1	C8B
733	chr9	C8G
734	chr8	OSGIN2
735	chr5	C9
738	chr11	VPS51
740	chr11	MRPL49
741	chr11	ZNHIT2
744	chr11	MPPED2
745	chr11	MYRF
746	chr11	TMEM258
747	chr11	DAGLA
750	chr16	GAS8-AS1
752	chr17	FMNL1
753	chr18	LDLRAD4
754	chr21	PTTG1IP
755	chr21	C21orf2
757	chr21	TMEM50B
758	chr22	MPPED1
759	chr8	CA1
760	chr8	CA2
761	chr8	CA3
762	chr17	CA4
763	chr16	CA5A
764	chr16	CA5AP1
765	chr1	CA6
766	chr16	CA7
767	chr8	CA8
768	chr9	CA9
770	chr19	CA11
771	chr15	CA12
772	chr17	CACD
773	chr19	CACNA1A
774	chr9	CACNA1B
775	chr12	CACNA1C
776	chr3	CACNA1D
777	chr1	CACNA1E
778	chrX	CACNA1F
779	chr1	CACNA1S
780	chr6	DDR1
781	chr7	CACNA2D1
782	chr17	CACNB1
783	chr10	CACNB2
784	chr12	CACNB3
785	chr2	CACNB4
786	chr17	CACNG1
788	chr3	SLC25A20
789	chr6	SLC25A20P1
790	chr2	CAD
793	chr8	CALB1
794	chr16	CALB2
795	chrX	S100G
796	chr11	CALCA
797	chr11	CALCB
798	chr11	CALCP
799	chr7	CALCR
800	chr7	CALD1
801	chr14	CALM1
802	chrX	CALM1P1
804	chr7	CALM1P2
805	chr2	CALM2
806	chr10	CALM2P2
807	chr13	CALM2P3
808	chr19	CALM3
810	chr10	CALML3
811	chr19	CALR
813	chr7	CALU
814	chr5	CAMK4
815	chr5	CAMK2A
816	chr7	CAMK2B
817	chr4	CAMK2D
818	chr10	CAMK2G
819	chr5	CAMLG
820	chr3	CAMP
821	chr5	CANX
822	chr2	CAPG
823	chr11	CAPN1
824	chr1	CAPN2
825	chr15	CAPN3
826	chr19	CAPNS1
827	chrX	CAPN6
828	chr19	CAPS
829	chr1	CAPZA1
830	chr7	CAPZA2
831	chr5	CAST
832	chr1	CAPZB
833	chr11	CARS
834	chr11	CASP1
835	chr7	CASP2
836	chr4	CASP3
837	chr11	CASP4
838	chr11	CASP5
839	chr4	CASP6
840	chr10	CASP7
841	chr2	CASP8
842	chr1	CASP9
843	chr2	CASP10
844	chr1	CASQ1
845	chr1	CASQ2
846	chr3	CASR
847	chr11	CAT
856	chr7	CATR1
857	chr7	CAV1
858	chr7	CAV2
859	chr3	CAV3
860	chr6	RUNX2
861	chr21	RUNX1
862	chr8	RUNX1T1
863	chr16	CBFA2T3
864	chr1	RUNX3
865	chr16	CBFB
866	chr14	SERPINA6
867	chr11	CBL
868	chr3	CBLB
869	chr16	CBLN1
871	chr11	SERPINH1
873	chr21	CBR1
874	chr21	CBR3
875	chr21	CBS
878	chr17	CCA1
881	chr9	CCIN
882	chr8	CCAL1
883	chr9	KYAT1
885	chr3	CCK
886	chr4	CCKAR
887	chr11	CCKBR
889	chr7	KRIT1
890	chr4	CCNA2
891	chr5	CCNB1
892	chr6	CCNC
894	chr12	CCND2
895	chr11	CCND2P1
896	chr6	CCND3
897	chr10	CCND3P1
898	chr19	CCNE1
899	chr16	CCNF
900	chr5	CCNG1
901	chr4	CCNG2
902	chr5	CCNH
904	chr12	CCNT1
905	chr2	CCNT2
907	chrX	CCT
908	chr7	CCT6A
909	chr1	CD1A
910	chr1	CD1B
911	chr1	CD1C
912	chr1	CD1D
913	chr1	CD1E
914	chr1	CD2
915	chr11	CD3D
916	chr11	CD3E
917	chr11	CD3G
919	chr1	CD247
920	chr12	CD4
921	chr11	CD5
922	chr1	CD5L
923	chr11	CD6
924	chr17	CD7
925	chr2	CD8A
926	chr2	CD8B
927	chr2	CD8BP
928	chr12	CD9
929	chr5	CD14
930	chr16	CD19
931	chr11	MS4A1
932	chr11	MS4A3
933	chr19	CD22
935	chr1	CD24P1
936	chr15	CD24P2
937	chr20	CD24P3
938	chrY	CD24P4
939	chr12	CD27
940	chr2	CD28
941	chr3	CD80
942	chr3	CD86
943	chr1	TNFRSF8
944	chr9	TNFSF8
945	chr19	CD33
946	chr19	SIGLEC6
947	chr1	CD34
948	chr7	CD36
949	chr12	SCARB1
950	chr4	SCARB2
951	chr19	CD37
952	chr4	CD38
953	chr10	ENTPD1
954	chr9	ENTPD2
955	chr20	ENTPD6
956	chr3	ENTPD3
957	chr14	ENTPD5
958	chr20	CD40
959	chrX	CD40LG
960	chr11	CD44
961	chr3	CD47
962	chr1	CD48
963	chr1	CD53
965	chr1	CD58
966	chr11	CD59
967	chr12	CD63
968	chr17	CD68
969	chr12	CD69
970	chr19	CD70
971	chr9	CD72
972	chr5	CD74
973	chr19	CD79A
974	chr17	CD79B
975	chr11	CD81
976	chr19	ADGRE5
977	chr11	CD151
978	chr1	CDA
981	chr15	CDAN3
982	chr10	CDB2
983	chr10	CDK1
984	chr1	CDK11B
987	chr4	LRBA
988	chr6	CDC5L
989	chr7	SEPT7
990	chr17	CDC6
991	chr1	CDC20
993	chr3	CDC25A
994	chr20	CDC25B
995	chr5	CDC25C
996	chr17	CDC27
997	chr19	CDC34
998	chr1	CDC42
999	chr16	CDH1
1000	chr18	CDH2
1001	chr16	CDH3
1002	chr20	CDH4
1003	chr16	CDH5
1004	chr5	CDH6
1005	chr18	CDH7
1006	chr16	CDH8
1007	chr5	CDH9
1008	chr5	CDH10
1009	chr16	CDH11
1010	chr5	CDH12
1011	chr5	CDH12P2
1012	chr16	CDH13
1013	chr16	CDH15
1014	chr16	CDH16
1015	chr8	CDH17
1016	chr5	CDH18
1017	chr12	CDK2
1018	chr17	CDK3
1019	chr12	CDK4
1020	chr7	CDK5
1021	chr7	CDK6
1022	chr5	CDK7
1023	chr-	CDL2
1024	chr13	CDK8
1025	chr9	CDK9
1026	chr6	CDKN1A
1027	chr12	CDKN1B
1028	chr11	CDKN1C
1029	chr9	CDKN2A
1030	chr9	CDKN2B
1031	chr1	CDKN2C
1032	chr19	CDKN2D
1033	chr14	CDKN3
1036	chr5	CDO1
1038	chrX	CDR1
1039	chr16	CDR2
1040	chr4	CDS1
1041	chr6	CDSN
1043	chr1	CD52
1044	chr5	CDX1
1045	chr13	CDX2
1046	chrX	CDX4
1047	chr4	CLGN
1048	chr19	CEACAM5
1050	chr19	CEBPA
1051	chr20	CEBPB
1052	chr8	CEBPD
1053	chr14	CEBPE
1054	chr19	CEBPG
1055	chr22	CECR
1056	chr9	CEL
1057	chr9	CELP
1058	chr2	CENPA
1059	chr20	CENPB
1060	chr4	CENPC
1061	chr12	CENPCP1
1062	chr4	CENPE
1063	chr1	CENPF
1066	chr16	CES1
1068	chr18	CETN1
1069	chrX	CETN2
1070	chr5	CETN3
1071	chr16	CETP
1072	chr11	CFL1
1073	chr14	CFL2
1074	chr5	CFL1P5
1075	chr11	CTSC
1080	chr7	CFTR
1081	chr6	CGA
1082	chr19	CGB3
1083	chrX	CGF1
1084	chr19	CEACAM3
1085	chr19	CEACAMP5
1086	chr19	CEACAMP11
1087	chr19	CEACAM7
1088	chr19	CEACAM8
1089	chr19	CEACAM4
1090	chr19	CEACAMP1
1091	chr19	CEACAMP2
1092	chr19	CEACAMP3
1093	chr19	CEACAMP4
1094	chr19	CEACAMP6
1095	chr19	CEACAMP7
1096	chr19	CEACAMP8
1097	chr19	CEACAMP9
1098	chr19	CEACAMP10
1101	chr17	CHAD
1102	chr13	RCBTB2
1103	chr10	CHAT
1104	chr1	RCC1
1105	chr5	CHD1
1106	chr15	CHD2
1107	chr17	CHD3
1108	chr12	CHD4
1109	chr10	AKR1C4
1111	chr11	CHEK1
1112	chr14	FOXN3
1113	chr14	CHGA
1114	chr20	CHGB
1116	chr1	CHI3L1
1117	chr1	CHI3L2
1118	chr1	CHIT1
1119	chr11	CHKA
1120	chr22	CHKB
1121	chrX	CHM
1122	chr1	CHML
1123	chr2	CHN1
1124	chr7	CHN2
1125	chr5	CHR
1128	chr11	CHRM1
1129	chr7	CHRM2
1130	chr1	LYST
1131	chr1	CHRM3
1132	chr11	CHRM4
1133	chr15	CHRM5
1134	chr2	CHRNA1
1135	chr8	CHRNA2
1136	chr15	CHRNA3
1137	chr20	CHRNA4
1138	chr15	CHRNA5
1139	chr15	CHRNA7
1140	chr17	CHRNB1
1141	chr1	CHRNB2
1142	chr8	CHRNB3
1143	chr15	CHRNB4
1144	chr2	CHRND
1145	chr17	CHRNE
1146	chr2	CHRNG
1147	chr10	CHUK
1149	chr18	CIDEA
1152	chr14	CKB
1153	chr19	CIRBP
1154	chr3	CISH
1155	chr19	TBCB
1156	chr14	CKBE
1157	chr16	CKBP1
1158	chr19	CKM
1159	chr15	CKMT1B
1160	chr5	CKMT2
1161	chr5	ERCC8
1163	chr1	CKS1B
1164	chr9	CKS2
1165	chr9	SCAR2
1167	chr20	CLA3
1173	chr3	AP2M1
1174	chr7	AP1S1
1175	chr19	AP2S1
1176	chr5	AP3S1
1178	chr19	CLC
1179	chr1	CLCA1
1180	chr7	CLCN1
1181	chr3	CLCN2
1182	chr4	CLCN3
1183	chrX	CLCN4
1184	chrX	CLCN5
1185	chr1	CLCN6
1186	chr16	CLCN7
1187	chr1	CLCNKA
1188	chr1	CLCNKB
1191	chr8	CLU
1192	chr6	CLIC1
1193	chrX	CLIC2
1195	chr2	CLK1
1196	chr1	CLK2
1197	chr7	CLK2P1
1198	chr15	CLK3
1200	chr11	TPP1
1201	chr16	CLN3
1203	chr13	CLN5
1204	chr6	CLNS1AP1
1207	chr11	CLNS1A
1208	chr6	CLPS
1209	chr19	CLPTM1
1211	chr9	CLTA
1212	chr5	CLTB
1213	chr17	CLTC
1215	chr14	CMA1
1218	chr9	CMD1B
1222	chr6	CMD1F
1230	chr3	CCR1
1232	chr3	CCR3
1233	chr3	CCR4
1234	chr3	CCR5
1235	chr6	CCR6
1236	chr17	CCR7
1237	chr3	CCR8
1238	chr3	ACKR2
1240	chr12	CMKLR1
1241	chr14	LTB4R
1243	chr1	CMM
1244	chr10	ABCC2
1245	chr-	CMR1A
1246	chr-	CMR2A
1247	chrX	CMR3A
1253	chrX	CMTX2
1254	chrX	CMTX3
1255	chr12	CNA1
1257	chr2	CNC2
1258	chr16	CNGB1
1259	chr4	CNGA1
1260	chrX	CNGA2
1261	chr2	CNGA3
1262	chr11	CNGA4
1263	chr1	PLK3
1264	chr19	CNN1
1265	chr19	CNN2
1266	chr1	CNN3
1267	chr17	CNP
1268	chr6	CNR1
1269	chr1	CNR2
1270	chr11	CNTF
1271	chr9	CNTFR
1272	chr12	CNTN1
1275	chrX	COD2
1277	chr17	COL1A1
1278	chr7	COL1A2
1279	chr15	COL1AR
1280	chr12	COL2A1
1281	chr2	COL3A1
1282	chr13	COL4A1
1283	chr-	CTD
1284	chr13	COL4A2
1285	chr2	COL4A3
1286	chr2	COL4A4
1287	chrX	COL4A5
1288	chrX	COL4A6
1289	chr9	COL5A1
1290	chr2	COL5A2
1291	chr21	COL6A1
1292	chr21	COL6A2
1293	chr2	COL6A3
1294	chr3	COL7A1
1295	chr3	COL8A1
1296	chr1	COL8A2
1297	chr6	COL9A1
1298	chr1	COL9A2
1299	chr20	COL9A3
1300	chr6	COL10A1
1301	chr1	COL11A1
1302	chr6	COL11A2
1303	chr6	COL12A1
1305	chr10	COL13A1
1306	chr9	COL15A1
1307	chr1	COL16A1
1308	chr10	COL17A1
1310	chr6	COL19A1
1311	chr19	COMP
1312	chr22	COMT
1314	chr1	COPA
1315	chr11	COPB1
1316	chr10	KLF6
1317	chr9	SLC31A1
1318	chr9	SLC31A2
1319	chr18	CORD1
1321	chr17	CORD4
1325	chr1	CORT
1326	chr10	MAP3K8
1327	chr16	COX4I1
1329	chr2	COX5B
1330	chr4	COX5BP1
1331	chr6	COX5BP2
1332	chr7	COX5BP3
1333	chr11	COX5BP4
1336	chr22	COX5BP7
1337	chr12	COX6A1
1338	chr1	COX6A1P1
1339	chr16	COX6A2
1340	chr19	COX6B1
1342	chr17	COX6B1P2
1343	chr22	COX6B1P3
1345	chr8	COX6C
1346	chr19	COX7A1
1347	chr6	COX7A2
1348	chr4	COX7A2P2
1349	chrX	COX7B
1350	chr5	COX7C
1351	chr11	COX8A
1352	chr17	COX10
1353	chr17	COX11
1355	chr10	COX15
1356	chr3	CP
1357	chr7	CPA1
1358	chr7	CPA2
1359	chr3	CPA3
1360	chr3	CPB1
1361	chr13	CPB2
1362	chr17	CPD
1363	chr4	CPE
1364	chr7	CLDN4
1365	chr7	CLDN3
1366	chr17	CLDN7
1368	chr12	CPM
1369	chr10	CPN1
1370	chr3	CPN2
1371	chr3	CPOX
1373	chr2	CPS1
1374	chr11	CPT1A
1375	chr22	CPT1B
1376	chr1	CPT2
1378	chr1	CR1
1379	chr1	CR1L
1380	chr1	CR2
1381	chr15	CRABP1
1382	chr1	CRABP2
1384	chr9	CRAT
1385	chr2	CREB1
1386	chr2	ATF2
1387	chr16	CREBBP
1388	chr6	ATF6B
1389	chr12	CREBL2
1390	chr10	CREM
1392	chr8	CRH
1393	chr5	CRHBP
1394	chr17	CRHR1
1395	chr7	CRHR2
1396	chr14	CRIP1
1397	chr14	CRIP2
1398	chr17	CRK
1399	chr22	CRKL
1400	chr4	CRMP1
1401	chr1	CRP
1404	chr5	HAPLN1
1406	chr19	CRX
1407	chr12	CRY1
1408	chr11	CRY2
1409	chr21	CRYAA
1410	chr11	CRYAB
1411	chr17	CRYBA1
1412	chr2	CRYBA2
1413	chr22	CRYBA4
1414	chr22	CRYBB1
1415	chr22	CRYBB2
1416	chr22	CRYBB2P1
1417	chr22	CRYBB3
1418	chr2	CRYGA
1419	chr2	CRYGB
1420	chr2	CRYGC
1421	chr2	CRYGD
1423	chr2	CRYGFP
